Participant ID,MentalDemand,PhysicalDemand,TemporalDemand,Effort,Frustration,Performance
IQYGQ,0,0,0,0,80,20
JZLB0,0,0,5,0,0,40
4O0OC,15,15,15,10,15,15
KVRK4,0,0,0,0,5,0
A07F9,0,0,5,0,30,90
FWJWM,5,5,5,5,5,100
E8MIW,5,35,0,0,0,0
IPHUS,0,0,5,0,5,0
DAJ0F,5,5,50,5,0,0
U133U,5,0,0,0,0,15
ZC1I9,75,30,20,70,55,30
LJ40O,30,45,15,20,15,0
DLE0I,5,65,20,45,80,100
2PVUU,5,5,5,5,5,5
CNHWK,5,15,0,0,0,0
HMISM,0,0,0,0,0,85
S45AI,0,0,0,0,10,80
U9ASF,0,5,5,0,20,0
6VGIY,60,15,10,35,70,85
MN4UH,0,0,0,0,50,100
2XBOF,35,5,0,10,75,0
1MNQO,0,0,0,0,10,100
8XL8L,0,0,0,0,0,0
ZWXZF,0,10,10,25,10,5
A8137,70,0,5,0,0,0
HO7FH,0,0,0,0,0,0
XBS6U,5,5,30,20,20,0
FXIIP,10,0,0,0,10,55
1AH4W,30,0,5,5,0,0
IL9KC,5,5,5,5,5,5
FRU51,20,20,0,0,0,0
ANTUJ,65,60,20,5,45,5
I3CXJ,0,5,5,0,20,0
ALXLN,5,5,5,5,30,5
K54Q7,70,30,15,15,85,85
878A1,5,15,5,20,35,20
